,ID.Year,Year,ID.Race,Race,Household.Income.by.Race,Household.Income.by.Race.Moe,Geography,ID.Geography,Sector
824,2015,2015,0,Total,74559,15210,"Census Tract 72, King County, WA",14000US53033007200,D
826,2015,2015,0,Total,79681,9164,"Census Tract 32, King County, WA",14000US53033003200,B
828,2015,2015,0,Total,79432,12890,"Census Tract 104.02, King County, WA",14000US53033010402,R
829,2015,2015,0,Total,125109,17335,"Census Tract 9, King County, WA",14000US53033000900,L
834,2015,2015,0,Total,71809,3845,"Census Tract 49, King County, WA",14000US53033004900,B
835,2015,2015,0,Total,66794,7324,"Census Tract 105, King County, WA",14000US53033010500,W
836,2015,2015,0,Total,76582,24664,"Census Tract 73, King County, WA",14000US53033007300,D
838,2015,2015,0,Total,72428,14501,"Census Tract 14, King County, WA",14000US53033001400,N
843,2015,2015,0,Total,90208,14893,"Census Tract 106, King County, WA",14000US53033010600,W
845,2015,2015,0,Total,44951,7895,"Census Tract 1, King County, WA",14000US53033000100,L
848,2015,2015,0,Total,67834,10408,"Census Tract 74.01, King County, WA",14000US53033007401,E
849,2015,2015,0,Total,85595,12635,"Census Tract 33, King County, WA",14000US53033003300,J
850,2015,2015,0,Total,55504,6379,"Census Tract 107.01, King County, WA",14000US53033010701,F
851,2015,2015,0,Total,65625,7845,"Census Tract 50, King County, WA",14000US53033005000,B
858,2015,2015,0,Total,48036,13269,"Census Tract 107.02, King County, WA",14000US53033010702,F
859,2015,2015,0,Total,41842,12239,"Census Tract 74.02, King County, WA",14000US53033007402,E
860,2015,2015,0,Total,85759,6801,"Census Tract 21, King County, WA",14000US53033002100,U
865,2015,2015,0,Total,74107,10937,"Census Tract 108, King County, WA",14000US53033010800,F
866,2015,2015,0,Total,60131,6300,"Census Tract 6, King County, WA",14000US53033000600,N
868,2015,2015,0,Total,99083,13277,"Census Tract 51, King County, WA",14000US53033005100,B
869,2015,2015,0,Total,63419,7647,"Census Tract 75, King County, WA",14000US53033007500,E
873,2015,2015,0,Total,42159,15005,"Census Tract 109, King County, WA",14000US53033010900,O
874,2015,2015,0,Total,97500,15548,"Census Tract 34, King County, WA",14000US53033003400,B
879,2015,2015,0,Total,29286,14329,"Census Tract 110.01, King County, WA",14000US53033011001,S
880,2015,2015,0,Total,68199,9540,"Census Tract 76, King County, WA",14000US53033007600,C
